AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
9.46,1.35,4.05,6.76,6.76,13.51,4.05,5.41,6.76,1.35,2.7,4.05,4.05,5.41,1.35,4.05,4.05,10.81,1.35,2.7
6.78,13.56,1.69,3.39,5.08,5.08,0.0,13.56,8.47,6.78,1.69,3.39,0.0,5.08,1.69,10.17,3.39,6.78,1.69,1.69
9.72,0.0,6.94,8.33,2.78,5.56,0.0,4.17,4.17,5.56,5.56,8.33,2.78,5.56,9.72,5.56,2.78,6.94,2.78,2.78
14.52,1.61,6.99,6.45,1.61,8.6,2.15,2.69,0.54,10.75,2.15,1.08,3.76,5.91,7.53,3.76,6.99,6.99,2.15,3.76
5.65,7.26,5.65,4.03,4.03,6.45,2.42,3.23,4.03,8.06,4.03,4.03,4.03,1.61,10.48,5.65,5.65,6.45,1.61,5.65
3.38,1.13,7.14,5.26,4.89,5.26,2.26,5.26,12.03,7.89,3.01,9.4,2.63,1.88,1.5,6.39,6.02,7.89,0.38,6.39
6.76,8.11,4.05,8.11,2.7,5.41,1.35,5.41,9.46,10.81,4.05,5.41,8.11,2.7,5.41,4.05,6.76,0.0,1.35,0.0
11.76,0.53,5.61,4.55,3.48,6.68,3.48,4.81,3.48,14.97,1.6,3.74,2.94,4.55,5.35,6.68,6.15,7.22,0.27,2.14
13.54,0.0,9.32,4.98,2.4,14.13,2.11,3.99,2.64,8.56,1.35,3.87,2.23,3.99,5.45,5.86,4.57,7.74,0.88,2.4
2.13,0.43,8.51,4.26,5.11,4.68,2.55,13.62,10.64,5.96,1.7,7.23,2.13,2.98,2.98,8.09,5.96,3.83,0.0,7.23
13.48,0.67,6.29,5.84,4.49,6.97,4.04,5.62,3.15,9.44,2.02,2.7,5.17,3.82,8.09,4.94,3.37,5.84,2.02,2.02
10.39,10.39,2.6,1.3,0.0,3.9,0.0,1.3,3.9,15.58,3.9,5.19,5.19,2.6,7.79,12.99,6.49,5.19,0.0,1.3
5.32,0.2,5.52,6.54,4.5,7.16,1.43,6.34,7.57,8.59,2.66,6.95,1.84,3.27,2.86,12.68,5.73,6.75,0.2,3.89
3.12,1.56,7.81,9.38,1.56,3.12,0.0,12.5,7.03,14.84,2.34,4.69,4.69,7.03,5.47,3.12,5.47,3.91,0.78,1.56
7.53,0.0,10.27,4.79,5.48,3.42,0.68,7.53,4.79,10.27,5.48,4.11,0.68,8.9,5.48,5.48,4.11,4.79,1.37,4.79
7.6,1.44,4.52,6.35,4.62,7.02,2.98,7.07,3.85,8.89,2.21,3.75,4.33,4.52,5.91,7.79,5.67,6.97,1.25,3.27
4.35,0.97,0.97,2.9,4.35,5.8,0.97,15.46,5.8,17.39,2.9,4.83,2.9,2.9,1.45,7.25,5.31,6.76,1.45,5.31
4.44,8.89,2.96,5.93,2.22,8.89,0.0,4.44,6.67,7.41,1.48,2.96,2.22,4.44,2.22,11.85,8.89,11.11,0.0,2.96
